UAI,Nom,Type,Statut,Adresse,Code_Postal,Commune,Téléphone,Mail,REP ?,Circo 1er degre,latitude,longitude,Réseau
0040090B,École élémentaire Salinae,École,Public,avenue Frédéric Mistral,4120,Castellane,04 92 83 68 55,ce.0040090B@ac-aix-marseille.fr,,Digne les Bains,43.84641646343714,6.511690446149668,Bléone Durance
0040091C,École maternelle du Sivu Val de Rancure,École,Public,40 chemin des Écoliers,4700,le Castellet,04 92 79 60 25,ce.0040091C@ac-aix-marseille.fr,,Sisteron Sud,43.93915988451095,5.982293416652107,Giono
0040094F,École primaire Céreste,École,Public,boulevard Victor Hugo,4280,Céreste-en-Luberon,04 92 79 03 09,ce.0040094F@ac-aix-marseille.fr,,Manosque,43.85579203795029,5.592130372249759,Giono
0040095G,École primaire le Chaffaut St Jurson,École,Public,rue de la Mairie,4510,le Chaffaut-Saint-Jurson,04 92 34 73 74,ce.0040095G@ac-aix-marseille.fr,,Digne les Bains,44.0379721979725,6.150739974628357,Bléone Durance
0040096H,École primaire Pierre Gassendi,École,Public,le village,4660,Champtercier,04 92 31 45 30,ce.0040096H@ac-aix-marseille.fr,,Digne les Bains,44.09440239799295,6.161721330085033,Bléone Durance
0040101N,École maternelle Édouard Manceau,École,Public,1247 rue des Ecoles,4160,Château-Arnoux-Saint-Auban,04 92 64 02 42,ce.0040101N@ac-aix-marseille.fr,,Sisteron Sud,44.10216733778654,6.006409412210604,Bléone Durance
0040103R,École élémentaire Paul Lapie,École,Public,8 avenue des Ecoles,4600,Château-Arnoux-Saint-Auban,04 92 64 17 34,ce.0040103R@ac-aix-marseille.fr,,Sisteron Sud,44.06933767311156,5.992030489814123,Bléone Durance
0040105T,École maternelle Paul Lapie,École,Public,1 avenue des Ecoles,4600,Château-Arnoux-Saint-Auban,04 92 64 18 71,ce.0040105T@ac-aix-marseille.fr,,Sisteron Sud,44.06909172718004,5.99167028153998,Bléone Durance
0040106U,École primaire Châteauneuf Val St Donat,École,Public,place de la Mairie,4200,Châteauneuf-Val-Saint-Donat,04 92 62 40 69,ce.0040106U@ac-aix-marseille.fr,,Sisteron,44.093362459866704,5.949127997698455,Bléone Durance
0040108W,École élémentaire Clamensane,École,Public,place de la Mairie,4250,Clamensane,04 92 68 41 88,ce.0040108W@ac-aix-marseille.fr,,Sisteron,44.32305985720191,6.069725792510562,Bléone Durance
0040109X,École primaire Claret,École,Public,8 route de l'Ecole,5110,Claret,04 92 68 32 92,ce.0040109X@ac-aix-marseille.fr,,Sisteron,44.37214032606787,5.954440019541955,Bléone Durance
0040111Z,École primaire Colmars les Alpes,École,Public,chemin Cascade de la Lance,4370,Colmars,04 92 83 42 68,ce.0040111Z@ac-aix-marseille.fr,,Digne les Bains,44.180084484691285,6.628140102244388,Bléone Durance
0040113B,École primaire Corbières en Provence,École,Public,rue des Ecoles,4220,Corbières-en-Provence,04 92 79 72 04,ce.0040113B@ac-aix-marseille.fr,,Manosque,43.76158121867877,5.7519985963014895,Giono
0040114C,École primaire de Cruis,École,Public,quartier la Casse,4230,Cruis,04 92 77 05 26,ce.0040114C@ac-aix-marseille.fr,,Sisteron Sud,44.06340713618739,5.8375901377563535,Giono
0040116E,École primaire de Dauphin,École,Public,boulevard du Nord,4300,Dauphin,04 92 79 55 33,ce.0040116E@ac-aix-marseille.fr,,Manosque,43.898544698647,5.782819853446919,Giono
0040117F,École primaire Paul Martin,École,Public,8 avenue Paul Martin,4000,Digne-les-Bains,04 92 31 18 76,ce.0040117F@ac-aix-marseille.fr,,Digne les Bains,44.09513839781954,6.237709740541915,Bléone Durance
0040121K,École primaire J. Reinach,École,Public,avenue Joseph Reinach,4000,Digne-les-Bains,04 92 31 01 92,ce.0040121K@ac-aix-marseille.fr,,Digne les Bains,44.09492372245435,6.233390311212596,Bléone Durance
0040126R,École primaire les Augiers,École,Public,les Augiers,4000,Digne-les-Bains,04 92 31 32 05,ce.0040126R@ac-aix-marseille.fr,,Digne les Bains,44.08136068537781,6.17531039674967,Bléone Durance
0040129U,École primaire Beausoleil,École,Public,6 chemin des Ajoncs Beausoleil,4000,Digne-les-Bains,04 92 31 19 22,ce.0040129U@ac-aix-marseille.fr,,Digne les Bains,44.089194723038375,6.216200080762925,Bléone Durance
0040131W,École primaire Gaubert,École,Public,Gaubert,4000,Digne-les-Bains,04 92 31 24 28,ce.0040131W@ac-aix-marseille.fr,,Digne les Bains,44.06063181960489,6.197639977488076,Bléone Durance
0040133Y,École primaire Félix Esclangon - la Sebe,École,Public,28 avenue Henri Jaubert la Sebe,4000,Digne-les-Bains,04 92 31 27 74,ce.0040133Y@ac-aix-marseille.fr,,Digne les Bains,44.08645801248541,6.223249978978507,Bléone Durance
0040138D,École primaire les Sieyes,École,Public,les Sieyes,4000,Digne-les-Bains,04 92 31 01 71,ce.0040138D@ac-aix-marseille.fr,,Digne les Bains,44.0834221142012,6.201800206801059,Bléone Durance
0040143J,École primaire d'Enchastrayes,École,Public,Sauze,4400,Enchastrayes,04 92 81 10 19,ce.0040143J@ac-aix-marseille.fr,,Sisteron,44.37372245330858,6.680797855771583,Porte des Alpes
0040148P,École maternelle d'Entrepierres,École,Public,la Girale,4200,Entrepierres,04 92 61 17 82,ce.0040148P@ac-aix-marseille.fr,,Sisteron,44.187017186125885,5.993640363407638,Bléone Durance
0040153V,École primaire de l'Escale,École,Public,rue du Professeur Francis Arnaud,4160,L'Escale,04 92 64 18 87,ce.0040153V@ac-aix-marseille.fr,,Sisteron Sud,44.084795095831154,6.025039390144988,Bléone Durance
0040158A,École maternelle de Forcalquier,École,Public,avenue Fontauris,4300,Forcalquier,04 92 75 34 96,ce.0040158A@ac-aix-marseille.fr,,Sisteron Sud,43.96157171961444,5.781259751204985,Giono
0040159B,École primaire privée Saint Joseph,École,Privé,5 place Aimé Gassier,4400,Barcelonnette,04 92 81 07 91,ce.0040159B@ac-aix-marseille.fr,,Sisteron,44.38572729453899,6.652409763523522,Porte des Alpes
0040166J,École primaire privée Catholique Sacré Coeur,École,Privé,2 avenue des Thermes,4000,Digne-les-Bains,04 92 30 58 60,ce.0040166J@ac-aix-marseille.fr,,Digne les Bains,44.09096437049163,6.241750315437223,Bléone Durance
0040167K,École primaire privée Jeanne d'Arc,École,Privé,avenue Saint Promasse,4300,Forcalquier,04 92 75 00 04,ce.0040167K@ac-aix-marseille.fr,,Sisteron Sud,43.96018764764678,5.781930273473294,Giono
0040168L,École primaire privée Saint Charles,École,Privé,13 boulevard Casimir Pelloutier,4100,Manosque,04 92 70 76 50,ce.0040168L@ac-aix-marseille.fr,,Manosque,43.83424244113954,5.781230517835402,Giono
0040172R,École primaire de Jausiers,École,Public,9 rue des Ecoles,4850,Jausiers,04 92 84 62 97,ce.0040172R@ac-aix-marseille.fr,,Sisteron,44.41859414566211,6.736452456677188,Porte des Alpes
0040174T,École élémentaire des Écoles,École,Public,rue André Malraux,4800,Gréoux-les-Bains,04 92 74 21 57,ce.0040174T@ac-aix-marseille.fr,,Manosque,43.75814604738948,5.885139388967074,Giono
0040176V,École primaire la Ponsonne,École,Public,place Pierre de Coubertin,4100,Manosque,04 92 87 47 37,ce.0040176V@ac-aix-marseille.fr,REP,Manosque,43.82554082633159,5.78903942161335,Giono
0040184D,École maternelle publique la Javie,École,Public,place de la Mairie,4420,La Javie,04 92 34 91 81,ce.0040184D@ac-aix-marseille.fr,,Digne les Bains,44.17456196462005,6.349855298320109,Bléone Durance
0040189J,École élémentaire publique la Thuiliere,École,Public,quartier la Thuilière,4700,Lurs,04 92 78 72 85,ce.0040189J@ac-aix-marseille.fr,,Sisteron Sud,43.96936829324847,5.889189553046753,Giono
0040191L,École élémentaire Malijai,École,Public,place Jules Ferry,4350,Malijai,04 92 34 02 81,ce.0040191L@ac-aix-marseille.fr,,Sisteron Sud,44.04522466220693,6.032319384144469,Bléone Durance
0040192M,École maternelle Malijai,École,Public,place Jules Ferry,4350,Malijai,04 92 34 08 32,ce.0040192M@ac-aix-marseille.fr,,Sisteron Sud,44.04458482677318,6.032949602147211,Bléone Durance
0040193N,École primaire Mallemoisson,École,Public,208 chemin de l'Ecole,4510,Mallemoisson,04 92 34 66 71,ce.0040193N@ac-aix-marseille.fr,,Digne les Bains,44.04215543563232,6.123590122646433,Bléone Durance
0040198U,École primaire le Colombier,École,Public,boulevard Martin Nalin,4100,Manosque,04 92 87 47 47,ce.0040198U@ac-aix-marseille.fr,,Manosque,43.83831219358028,5.788999826049897,Giono
0040199V,École élémentaire la Luquèce,École,Public,boulevard Pasteur,4100,Manosque,04 92 87 47 43,ce.0040199V@ac-aix-marseille.fr,REP,Manosque,43.82836248183229,5.780770188767511,Giono
0040200W,École élémentaire les Plantiers,École,Public,rue Paul Arène,4100,Manosque,04 92 87 47 34,ce.0040200W@ac-aix-marseille.fr,REP,Manosque,43.82219982465677,5.784507304392112,Giono
0040201X,École maternelle la Luquèce,École,Public,boulevard Pasteur,4100,Manosque,04 92 87 47 32,ce.0040201X@ac-aix-marseille.fr,REP,Manosque,43.82792718464423,5.781349763059991,Giono
0040209F,École maternelle Paul Langevin,École,Public,avenue du Stade,4190,Les Mées,04 92 34 15 32,ce.0040209F@ac-aix-marseille.fr,,Sisteron Sud,44.03138878984319,5.974969950705471,Bléone Durance
0040210G,École primaire Dabisse,École,Public,hameau Dabisse,4190,Les Mées,04 92 34 32 40,ce.0040210G@ac-aix-marseille.fr,,Sisteron Sud,43.98273598267338,5.926550259924315,Giono
0040214L,École primaire Mézel,École,Public,quartier le Claus,4270,Mézel,04 92 35 54 24,ce.0040214L@ac-aix-marseille.fr,,Digne les Bains,43.99638181587319,6.197699699513825,Bléone Durance
0040215M,École primaire Mirabeau,École,Public,les Barbarins,4510,Mirabeau,04 92 34 72 85,ce.0040215M@ac-aix-marseille.fr,,Digne les Bains,44.06271366179168,6.092150024924667,Bléone Durance
0040216N,École primaire les Armands,École,Public,chemin des Ecoliers,4200,Mison,04 92 62 20 49,ce.0040216N@ac-aix-marseille.fr,,Sisteron,44.26592108811718,5.857210008423965,Bléone Durance
0040218R,École élémentaire publique Montagnac,École,Public,route la Rabasse,4500,Montagnac-Montpezat,04 92 77 55 69,ce.0040218R@ac-aix-marseille.fr,,Manosque,43.77991560050548,6.095070527491295,Giono
0040220T,École primaire Saint-Jean,École,Public,Col Saint Jean,4140,Montclar,04 92 30 92 08,ce.0040220T@ac-aix-marseille.fr,,Sisteron,44.41211798156888,6.351290442545532,Bléone Durance
0040221U,École primaire des Insurgés de 1851,École,Public,des Insurgés de 1851,4600,Montfort,04 92 64 41 95,ce.0040221U@ac-aix-marseille.fr,,Sisteron Sud,44.064032266255694,5.971615153862807,Bléone Durance
0040222V,École primaire Montfuron,École,Public,place de la Mairie,4110,Montfuron,07 64 89 58 72,ce.0040222V@ac-aix-marseille.fr,,Manosque,43.83534244452939,5.694713107801287,Giono
0040226Z,École primaire la Motte du Caire,École,Public,Prés Longs,4250,La Motte-du-Caire,04 92 68 30 35,ce.0040226Z@ac-aix-marseille.fr,,Sisteron,44.34350342188762,6.030450166560779,Bléone Durance
0040231E,École primaire Moustiers Ste Marie,École,Public,rue du Seigneur de la Clue,4360,Moustiers-Sainte-Marie,04 86 56 32 94,ce.0040231E@ac-aix-marseille.fr,,Manosque,43.84460117674739,6.221489293917624,Giono
0040233G,École maternelle Niozelles,École,Public,le village,4300,Niozelles,04 92 75 31 67,ce.0040233G@ac-aix-marseille.fr,,Sisteron Sud,43.93750426811902,5.839536591541848,Giono
0040234H,École primaire Noyers sur Jabron,École,Public,place du village,4200,Noyers-sur-Jabron,04 92 62 01 94,ce.0040234H@ac-aix-marseille.fr,,Sisteron,44.168557057982326,5.828229718160677,Bléone Durance
0040236K,École primaire d'Ongles,École,Public,le village,4230,Ongles,04 92 73 18 13,ce.0040236K@ac-aix-marseille.fr,,Sisteron Sud,44.02829576108979,5.732811940263464,Giono
0040238M,École élémentaire Oraison,École,Public,quartier Sigare,4700,Oraison,06 13 77 75 75,ce.0040238M@ac-aix-marseille.fr,,Sisteron Sud,43.91782686733255,5.917650582361307,Giono
0040240P,École maternelle Henri Matisse,École,Public,avenue Victor Gérard,4700,Oraison,04 92 77 91 37,ce.0040240P@ac-aix-marseille.fr,,Sisteron Sud,43.91367835948964,5.917670153204065,Giono
0040242S,École primaire la Plus Haute Fontaine,École,Public,route de Moustiers,4120,La Palud-sur-Verdon,04 92 77 35 28,ce.0040242S@ac-aix-marseille.fr,,Digne les Bains,43.77944687981855,6.339380400590883,Bléone Durance
0040243T,École primaire Peipin,École,Public,rue Grand Champ,4200,Peipin,04 92 62 41 30,ce.0040243T@ac-aix-marseille.fr,,Sisteron,44.13552841026125,5.9566196800659865,Bléone Durance
0040247X,École maternelle Parc Château Av Liberation,École,Public,42 avenue de la Libération,4310,Peyruis,04 92 68 01 55,ce.0040247X@ac-aix-marseille.fr,,Sisteron Sud,44.02853260974897,5.941340434833136,Bléone Durance
0040248Y,École élémentaire Piégut,École,Public,place de l'Aire,5130,Piégut,04 92 54 03 29,ce.0040248Y@ac-aix-marseille.fr,,Sisteron,44.45169356150852,6.128616849291304,Porte des Alpes
0040249Z,École élémentaire Pierrerue,École,Public,la Promenade,4300,Pierrerue,04 92 75 31 72,ce.0040249Z@ac-aix-marseille.fr,,Sisteron Sud,43.95515262711668,5.83431957369988,Giono
0040250A,École élémentaire Pierrevert,École,Public,rue Gaston Berger,4860,Pierrevert,04 92 72 01 48,ce.0040250A@ac-aix-marseille.fr,,Manosque,43.80988663948226,5.752619650720932,Giono
0040253D,École élémentaire Puimichel,École,Public,quartier de l'Ecole,4700,Puimichel,04 92 78 79 01,ce.0040253D@ac-aix-marseille.fr,,Sisteron Sud,43.97318047049861,6.019910197207554,Giono
0040254E,École primaire Puimoisson,École,Public,route de Riez,4410,Puimoisson,04 92 74 70 86,ce.0040254E@ac-aix-marseille.fr,,Manosque,43.86185858616308,6.125690175616349,Giono
0040255F,École primaire Quinson,École,Public,place de la Mairie,4500,Quinson,07 48 72 33 46,ce.0040255F@ac-aix-marseille.fr,,Manosque,43.70033779184455,6.038494746424839,Giono
0040258J,École primaire RPI,École,Public,Rioclar,4340,Méolans-Revel,04 92 81 90 39,ce.0040258J@ac-aix-marseille.fr,,Sisteron,44.410524209069045,6.526970531807713,Porte des Alpes
0040259K,École primaire Revest des Brousses,École,Public,le village,4150,Revest-des-Brousses,04 92 73 35 29,ce.0040259K@ac-aix-marseille.fr,,Sisteron Sud,43.97168382075817,5.672880332835542,Giono
0040260L,École primaire Revest du Bion,École,Public,rue des Ecoles,4150,Revest-du-Bion,04 92 79 97 61,ce.0040260L@ac-aix-marseille.fr,,Sisteron Sud,44.083081277477774,5.547436673763761,Giono
0040262N,École élémentaire Riez,École,Public,rue Jules Henry,4500,Riez,04 92 77 81 33,ce.0040262N@ac-aix-marseille.fr,,Manosque,43.81954506196052,6.090320089912675,Giono
0040263P,École maternelle la Rouguière,École,Public,quartier la Rouguiere,4500,Riez,04 92 77 83 06,ce.0040263P@ac-aix-marseille.fr,,Manosque,43.81548817500136,6.097830417819581,Giono
0040267U,École primaire Roumoules,École,Public,1 rue des Ecoles,4500,Roumoules,04 92 77 86 15,ce.0040267U@ac-aix-marseille.fr,,Manosque,43.824249114129096,6.128010216689119,Giono
0040268V,École primaire St André les Alpes,École,Public,1 place Marcel Pastorelli,4170,Saint-André-les-Alpes,04 92 89 09 75,ce.0040268V@ac-aix-marseille.fr,,Digne les Bains,43.968805068842144,6.508559816599244,Bléone Durance
0040271Y,École primaire St Étienne les Orgues,École,Public,rue de l'Arboux,4230,Saint-Etienne-les-Orgues,04 92 73 19 73,ce.0040271Y@ac-aix-marseille.fr,,Sisteron Sud,44.04564043974595,5.777944170604151,Giono
0040276D,École primaire St Maime,École,Public,rue des Ecoles,4300,Saint-Maime,04 92 79 51 92,ce.0040276D@ac-aix-marseille.fr,,Manosque,43.90359085918256,5.795200416665709,Giono
0040277E,École primaire St Martin de Bromes,École,Public,chemin Pauron,4800,Saint-Martin-de-Brômes,04 92 78 13 44,ce.0040277E@ac-aix-marseille.fr,,Manosque,43.76947263658137,5.939971761213573,Giono
0040280H,École primaire la Grande Ourse,École,Public,avenue des Remparts,4870,Saint-Michel-l'Observatoire,04 92 76 68 32,ce.0040280H@ac-aix-marseille.fr,,Sisteron Sud,43.90954670807272,5.714949918913128,Giono
0040281J,École primaire Émile Signoret,École,Public,le village,4530,Saint-Paul-sur-Ubaye,04 92 84 33 59,ce.0040281J@ac-aix-marseille.fr,,Sisteron,44.51572074559151,6.75308348082088,Porte des Alpes
0040283L,École primaire St Pons,École,Public,le village,4400,Saint-Pons,04 92 81 26 34,ce.0040283L@ac-aix-marseille.fr,,Sisteron,44.392355009936885,6.6275402458004375,Porte des Alpes
0040285N,École élémentaire Paul Éluard,École,Public,avenue Gracchus-Babeuf,4220,Sainte-Tulle,04 86 56 03 34,ce.0040285N@ac-aix-marseille.fr,,Manosque,43.79030968572515,5.770269637639273,Giono
0040286P,École primaire Max Trouche,École,Public,avenue de la République,4220,Sainte-Tulle,04 92 78 20 45,ce.0040286P@ac-aix-marseille.fr,,Manosque,43.7862321061457,5.7672395426415415,Giono
0040287R,École maternelle Langevin-Wallon,École,Public,rue Marcel Cachin,4220,Sainte-Tulle,04 92 78 21 70,ce.0040287R@ac-aix-marseille.fr,,Manosque,43.786875598195735,5.76672007708682,Giono
0040289T,École élémentaire publique le Lautharet,École,Public,le Lautaret,4340,Ubaye-Serre-Ponçon,04 92 85 55 63,ce.0040289T@ac-aix-marseille.fr,,Sisteron,44.44266135312597,6.353230548986534,Bléone Durance
0040291V,École primaire St Vincent sur Jabron,École,Public,place du village,4200,Saint-Vincent-sur-Jabron,04 92 62 00 98,ce.0040291V@ac-aix-marseille.fr,,Sisteron,44.17165194673194,5.745430516656841,Bléone Durance
0040292W,École élémentaire Salignac,École,Public,quartier le Mardaric,4290,Salignac,04 92 61 33 64,ce.0040292W@ac-aix-marseille.fr,,Sisteron,44.15764576869429,5.970418196440873,Bléone Durance
0040295Z,École élémentaire Selonnet,École,Public,place du village,4140,Selonnet,04 92 35 19 41,ce.0040295Z@ac-aix-marseille.fr,,Sisteron,44.370598545402,6.311968156083582,Bléone Durance
0040301F,École primaire Sigonce,École,Public,rue de l'Ecole,4300,Sigonce,04 92 75 36 01,ce.0040301F@ac-aix-marseille.fr,,Sisteron Sud,43.9964921627863,5.839930174916852,Giono
0040302G,École élémentaire Sigoyer,École,Public,le village,4200,Sigoyer,04 92 62 14 97,ce.0040302G@ac-aix-marseille.fr,,Sisteron,44.32000315334007,5.9578495196876045,Bléone Durance
0040303H,École primaire Simiane la Rotonde,École,Public,place Rene Char,4150,Simiane-la-Rotonde,04 92 75 90 91,ce.0040303H@ac-aix-marseille.fr,,Sisteron Sud,43.97966137775657,5.563627012766934,Giono
0040305K,École élémentaire Verdun,École,Public,5 allée de Verdun,4200,Sisteron,04 92 62 69 93,ce.0040305K@ac-aix-marseille.fr,,Sisteron,44.19532830298007,5.944080321669785,Bléone Durance
0040306L,École maternelle Jean Andrieu,École,Public,45 place René Cassin,4200,Sisteron,04 92 61 41 14,ce.0040306L@ac-aix-marseille.fr,,Sisteron,44.19662130471307,5.94188004183916,Bléone Durance
0040307M,École primaire la Baume,École,Public,46 rue Julien Masselier,4200,Sisteron,04 92 61 43 23,ce.0040307M@ac-aix-marseille.fr,,Sisteron,44.20432302598529,5.947159971823138,Bléone Durance
0040311S,École primaire publique Pierre Magnan,École,Public,2 avenue Jean des Figues,4200,Sisteron,04 92 61 36 04,ce.0040311S@ac-aix-marseille.fr,,Sisteron,44.1858850989944,5.94573001090669,Bléone Durance
0040313U,École élémentaire Delaplane - le Thor,École,Public,51 avenue du Jabron,4200,Sisteron,04 92 61 29 88,ce.0040313U@ac-aix-marseille.fr,,Sisteron,44.1849777729271,5.938589484448551,Bléone Durance
